"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Bahamas, The","BHS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.597","62.188","64.203","63.82","66.22","65.911","67.436","68.861","69.419","69.662","69.977","68.371","66.898","67.292","67.298","69.289","68.959","68.516","63.731","63.523","63.37","63.718","61.907","63.58","64.789","64.215","66.344","66.178","66.128","59.661","62.192","64.611","65.182",
"Bosnia and Herzegovina","BIH","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.43","36.642","35.643","34.726","33.977","33.535","33.075","32.639","32.185","31.717","31.249","31.028","30.752","30.472","30.173","29.903","31.269","34.435","34.104","33.219","32.827","32.89","32.854","33.529","33.488","34.439","36.711","37.545","39.655","39.373","42.439","43.836","44.079",
"Belarus","BLR","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.859","57.261","53.932","51.437","48.648","44.505","48.494","50.189","50.959","51.843","52.636","53.368","54.043","54.706","55.416","56.178","56.993","57.874","58.757","59.246","59.713","60.124","60.425","60.674","60.886","61.067","61.303","61.835","62.129","62.052","62.297","62.699","62.528",
"Belize","BLZ","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.232","50.566","50.652","49.846","49.903","49.952","51.431","50.3","51.686","53.106","54.36","53.996","54.017","54.087","54.113","55.252","56.006","56.426","56.547","56.709","56.918","57.167","57.4","58.258","59.029","59.753","59.804","58.747","57.748","54.854","55.539","57.715","58.375",
"Bermuda","BMU","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.485","67.372","67.557","67.772","68.3","68.715","69.19","69.554","69.817","68.336","68.195","68.196","68.149","68.163","68.163","70.849","69.165","69.943","69.978","70.174","70.36","67.2","67.609","69.928","64.994","65.002","66.125","69.273","68.081","64.175","64.614","67.436","68.117",
"Brazil","BRA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.651","59.646","59.997","59.749","59.521","57.309","57.542","56.923","56.853","57.294","57.741","58.525","58.053","59.249","59.541","59.815","59.733","60.196","59.604","59.109","58.477","59.165","59.215","59.217","58.361","56.483","55.971","56.31","56.948","52.03","54.075","57.503","57.9",
"Barbados","BRB","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.859","50.991","50.444","52.004","54.76","57.144","57.903","59.367","60.633","62.273","62.699","61.422","61.632","63.012","63.244","61.945","62.776","62.129","60.835","60.374","60.027","58.519","59.005","56.123","57.692","60.041","58.821","58.281","57.061","54.932","55.41","56.828","57.098",
"Brunei Darussalam","BRN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.536","62.701","62.861","63.021","63.18","63.339","63.494","63.647","63.803","63.96","64.115","63.909","63.702","63.494","63.284","63.078","62.87","62.661","62.448","62.242","62.038","61.418","60.789","60.156","59.057","57.965","56.884","59.701","59.944","58.909","60.62","61.509","61.467",
"Bhutan","BTN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.641","69.44","69.243","69.046","68.842","68.779","68.736","68.71","68.709","68.555","68.39","68.459","68.55","68.128","67.763","67.683","67.226","67.078","66.94","65.887","65.233","63.08","63.426","60.963","61.593","61.231","60.867","60.503","64.555","64.418","65.774","65.75","65.324",
